word_id,word,synset_id,pos,gloss
11824,xuất hiện,2781,adj,tính chất được nhiều người biết đến và nhìn thấy mà không có sự che giấu hoặc hạn chế nào
18720,xuất hiện,5660,noun.act,"khái niệm chỉ sự có mặt hoặc tham gia vào một sự kiện, tình huống hay không gian"
78475,xuất hiện,28422,verb.communication,"hành động tự làm cho mình hiện diện tại một địa điểm, thường là theo yêu cầu hoặc cho một mục đích đã định"
3577,căm tức,751,adj,"tính chất biểu hiện sự đau khổ cùng cực, thường đi kèm với nỗi căm ghét sâu sắc và mong muốn trả thù hoặc bày tỏ sự bất mãn, phẫn uất dữ dội trước những điều ngang trái, bất công hoặc tổn thương nghiêm trọng."
68758,căm tức,25133,noun.tops,khái niệm chỉ trạng thái tức giận bị dồn nén và nung nấu trong lòng đến mức độ cao
4008,tham lam,836,adj,tính chất mong muốn sở hữu những gì người khác có hoặc muốn người khác không có được điều mình có
76095,tham lam,27890,verb.cognition,"hành động mong muốn đạt được nhiều hơn mức cần thiết hoặc khả năng hiện có, thường đi kèm với ý chí mạnh mẽ và đôi khi là sự chiếm đoạt"
19730,đụng chạm,5905,noun.act,"khái niệm chỉ trạng thái hoặc sự việc các vật thể, đối tượng hoặc vấn đề tiến lại gần nhau đến mức thiết lập một mối liên hệ trực tiếp, có thể biểu hiện bằng va chạm vật lý, liên hệ thông tin hay ma sát quan điểm."
82481,đụng chạm,29369,verb.contact,"hành động làm cho các bề mặt của hai hay nhiều đối tượng gặp nhau, thường diễn ra trong khoảnh khắc ngắn và có thể không có chủ ý"
8004,biến chất,1763,adj,"tính chất đã trải qua một sự thay đổi cơ bản, không đơn thuần là điều chỉnh, làm cho hình thái, trạng thái hoặc bản chất ban đầu của đối tượng không còn như trước hoặc đã chuyển sang dạng khác."
62201,biến chất,21242,noun.tops,khái niệm chỉ sự thay đổi về bản chất khiến một sự vật hoặc con người mất đi giá trị tốt đẹp ban đầu và trở nên xấu đi
74532,biến chất,27479,verb.change,"hành động làm cho một sự vật, hiện tượng hoặc đặc tính thay đổi một cách sâu sắc và cơ bản về hình dạng, bản chất hay tính chất vốn có, không còn giữ được trạng thái nguyên gốc."
2802,không gồm,602,adj,"tính chất không có sự liên kết, không nằm trong phạm vi bao gồm, hoặc không có sự tham gia vào một vấn đề, tập hợp hay hoạt động cụ thể"
98908,không gồm,33174,verb.stative,hành động loại bỏ hoặc không đưa một phần tử nào đó vào một tập hợp hoặc phạm vi nhất định
19144,gạ,5763,noun.act,"khái niệm chỉ sự cố gắng dùng lời nói, hành động hoặc nội dung có tính chất dụ dỗ, kích thích, hoặc khiêu khích để tác động đến mong muốn, hành vi của người khác, thường hướng đến lợi ích cá nhân hoặc mục đích tình dục, đôi khi mang tính chất quấy rối hoặc thô tục"
